,month,town,resale_price
11328,2017-08-01,ANG MO KIO,381000
11329,2017-08-01,ANG MO KIO,381000
11330,2017-08-01,ANG MO KIO,390000
11331,2017-08-01,ANG MO KIO,393000
11332,2017-08-01,ANG MO KIO,395000
11333,2017-08-01,ANG MO KIO,405000
11334,2017-08-01,ANG MO KIO,425000
11335,2017-08-01,ANG MO KIO,425000
11336,2017-08-01,ANG MO KIO,430000
11337,2017-08-01,ANG MO KIO,430000
11338,2017-08-01,ANG MO KIO,440000
11339,2017-08-01,ANG MO KIO,450000
11340,2017-08-01,ANG MO KIO,458000
11341,2017-08-01,ANG MO KIO,510000
11342,2017-08-01,ANG MO KIO,520000
11343,2017-08-01,ANG MO KIO,520000
11344,2017-08-01,ANG MO KIO,540000
11345,2017-08-01,ANG MO KIO,572000
11346,2017-08-01,ANG MO KIO,587000
11347,2017-08-01,ANG MO KIO,595000
11348,2017-08-01,ANG MO KIO,635080
11349,2017-08-01,ANG MO KIO,640000
11350,2017-08-01,ANG MO KIO,650000
11351,2017-08-01,ANG MO KIO,712000
11352,2017-08-01,ANG MO KIO,718000
11353,2017-08-01,ANG MO KIO,575000
11354,2017-08-01,ANG MO KIO,600000
11355,2017-08-01,ANG MO KIO,615000
11356,2017-08-01,ANG MO KIO,620000
11357,2017-08-01,ANG MO KIO,655000
11358,2017-08-01,ANG MO KIO,716000
11359,2017-08-01,ANG MO KIO,720000
11360,2017-08-01,ANG MO KIO,756500
11361,2017-08-01,ANG MO KIO,768000
11362,2017-08-01,ANG MO KIO,790000
11363,2017-08-01,ANG MO KIO,838000
